bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,64.0,0.0061,0.30000000000000004,25.122002114369288,4456.17027288821,41.477774675869426,0.6583728194236755,10996.380950212479
2,160.0,0.00183,0.2,18.846468955479267,1794.0619006928887,32.947738299287096,0.8077333569526672,11757.32839012146
3,192.0,0.00259,0.2,19.365666854884573,2454.1934790626756,38.79203231719437,0.7969940304756165,12822.276444196701
4,160.0,8e-05,0.4,35.34966759424249,279751.4703036217,58.913622813296875,0.32358282804489136,12560.512982845306
5,192.0,0.0003,0.1,18.353564572570942,1947.71116427945,32.57862706424135,0.8176587820053101,14542.826134681702
6,128.0,0.00464,0.4,19.383951592637224,2427.6177133963574,37.745430002927044,0.7966104745864868,13922.009158372879
7,160.0,0.0002,0.30000000000000004,19.354031149311393,3061.4949262058008,39.19612327251992,0.7972378730773926,14245.174670934677
8,128.0,0.00067,0.2,20.895770857905525,2750.8115069759033,34.438292934791015,0.763647198677063,10664.756665229797
9,192.0,0.00155,0.2,19.39632930046382,2370.877556352224,43.82349158328219,0.7963506579399109,12106.726113319397
10,256.0,0.00022,0.5,18.767799981940062,2102.6499528038325,34.62882464268476,0.8093351125717163,11803.875081539154
