bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,192.0,0.00653,0.5,27.813986416546193,6903.052856230752,64.15062906333804,0.6075762510299683,895.4049761295319
2,192.0,0.00653,0.4,24.408845140272142,6210.119332632421,64.6503763686763,0.6977798938751221,904.6656832695007
3,192.0,0.00653,0.2,25.516194985565548,5599.800684520041,50.4218574429079,0.669736385345459,897.6057088375092
4,192.0,0.00653,0.1,22.544878656888784,3761.9867183022493,52.45561395400027,0.7421752214431763,864.8688523769379
5,192.0,0.00192,0.5,22.804016653349088,4442.852017419675,42.42507392247569,0.7362141013145447,890.7437698841095
6,192.0,0.00192,0.4,24.440706265686156,4892.487269085457,47.485414526139074,0.6969903707504272,844.3229033946991
7,192.0,0.00192,0.2,22.825603041246705,5372.586023613344,38.40505589974875,0.7357144951820374,842.9466845989227
8,192.0,0.00192,0.1,25.065348451816273,6751.248120145006,39.805791898276645,0.6813042163848877,844.7128827571869
9,192.0,0.00165,0.5,22.76569563192609,5216.3442095178725,43.28594706971284,0.7370998859405518,844.0403451919556
10,192.0,0.00165,0.4,25.514698909178477,6284.117059446783,47.590525427234226,0.669775128364563,817.5141637325287
11,192.0,0.00165,0.2,20.139704859550907,2773.8346551854574,39.14548797656656,0.7942522764205933,690.698725938797
12,192.0,0.00165,0.1,25.153422734814264,5416.881847166171,42.30345205097907,0.6790605783462524,694.2766389846802
13,192.0,0.00151,0.5,24.713510157114843,5686.260391978266,42.41679092787557,0.6901884078979492,685.6132020950317
14,192.0,0.00151,0.4,21.936422203130036,3925.1363925879855,46.00444897751713,0.7559040784835815,695.7485177516937
15,192.0,0.00151,0.2,25.61603457460997,5724.175932438673,46.01804098797773,0.6671468615531921,694.9084229469299
16,192.0,0.00151,0.1,26.287082585899967,11243.25039189564,45.076707739296765,0.649479329586029,692.5142185688019
17,192.0,0.00059,0.5,20.87099811588,2661.506205014339,48.7698498248969,0.7790391445159912,699.0010907649994
18,192.0,0.00059,0.4,24.14281129721323,4899.17562895517,54.353519237663285,0.7043318152427673,697.4574313163757
19,192.0,0.00059,0.2,22.736913314950677,3977.976315910895,46.90957053200883,0.7377642393112183,806.9442574977875
20,192.0,0.00059,0.1,20.514926695794827,2874.126682069736,38.15498335422507,0.7865142822265625,766.3875107765198
21,192.0,0.00043,0.5,22.60491930196349,4037.7876393797446,43.058740665969324,0.740800142288208,734.05064868927
22,192.0,0.00043,0.4,22.025552148135933,3010.966010604246,43.18728783890684,0.7539165019989014,718.8801500797272
23,192.0,0.00043,0.2,20.65850799981751,3882.943521028682,38.47759655107224,0.7835155129432678,706.3093099594116
24,192.0,0.00043,0.1,26.101442626880704,8017.140971618463,40.599808541638716,0.6544126272201538,698.9400360584259
25,192.0,0.00037,0.5,21.974886827963697,3544.7891169837603,38.962900312226004,0.7550473213195801,706.8806970119476
26,192.0,0.00037,0.4,22.51234114450896,4861.78059080809,41.53754279871812,0.742918848991394,704.6471135616302
27,192.0,0.00037,0.2,26.683496158145143,8564.519401382046,46.79569873418037,0.6388278007507324,703.1809613704681
28,192.0,0.00037,0.1,20.784338506908743,3489.5260032000538,41.548253031619,0.7808703184127808,707.6480073928833
29,192.0,0.00035,0.5,21.66280932292948,4252.461890809,43.34180002690668,0.7619553804397583,704.8395507335663
30,192.0,0.00035,0.4,21.719160754207625,3869.0670002884267,41.856405384555295,0.7607153058052063,702.0068395137787
31,192.0,0.00035,0.2,21.468770946707302,3769.276142376033,44.63952604049712,0.7662006616592407,674.0333614349365
32,192.0,0.00035,0.1,21.913207791271738,4201.157014037997,43.48871546961168,0.7564204931259155,635.3528311252594
33,192.0,0.0003,0.5,20.850184698422563,3580.985873169185,41.299625786657664,0.7794796228408813,611.7662982940674
34,192.0,0.0003,0.4,21.392822954851283,3365.6022269395235,42.441857879859604,0.7678519487380981,611.5024933815002
35,192.0,0.0003,0.2,32.58130377591198,310748.0927989433,49.06623288561735,0.46152472496032715,613.7010526657104
36,192.0,0.0003,0.1,25.67199079153012,5743.421685930203,50.08027995555578,0.6656910181045532,608.896490573883
37,160.0,0.00653,0.5,41.53595043504056,87042.68850276424,156.36881093326835,0.12486076354980469,582.0232210159302
38,160.0,0.00653,0.4,21.256704919030124,3127.6743416356794,54.692704709695214,0.7707967758178711,590.5355694293976
39,160.0,0.00653,0.2,23.604788773611173,4279.306522149884,56.1592246639633,0.7173628807067871,591.2962794303894
40,160.0,0.00653,0.1,22.259054766678137,3792.5303203340327,46.83676308942177,0.7486711740493774,589.7135112285614
41,160.0,0.00192,0.5,27.890674529463094,10395.738437155784,45.79836472961633,0.6054092645645142,592.9200389385223
42,160.0,0.00192,0.4,24.524294336337082,4357.828194173885,52.01922344838705,0.6949142217636108,598.1530508995056
43,160.0,0.00192,0.2,21.395586203934105,3671.831282405606,39.046947242967335,0.7677919864654541,599.4702231884003
44,160.0,0.00192,0.1,25.844487145308303,5002.8359755747415,49.637300328328145,0.6611833572387695,647.6242852210999
45,160.0,0.00165,0.5,25.023731550898383,6138.919177212067,53.67449843601902,0.6823616027832031,633.7252490520477
46,160.0,0.00165,0.4,22.63860688104976,3880.618346085026,46.06800616520235,0.7400269508361816,629.4845404624939
47,160.0,0.00165,0.2,24.751362985160924,6957.81128620987,46.8542874544607,0.6892386078834534,623.2005677223206
48,160.0,0.00165,0.1,24.30972322844387,4681.430276520876,41.866757690062485,0.7002295255661011,624.1396920681
49,160.0,0.00151,0.5,21.903509421642266,3677.797787060868,50.86498220832326,0.7566360235214233,618.8264486789703
50,160.0,0.00151,0.4,25.04071125434177,5116.421802546623,50.53237957584997,0.6819303631782532,615.0489811897278
51,160.0,0.00151,0.2,25.39910488478914,13039.413622251006,43.20082753724013,0.6727604866027832,622.4992368221283
52,160.0,0.00151,0.1,27.877128470181137,9853.977576858437,51.780329978780124,0.6057924628257751,619.6252591609955
53,160.0,0.00059,0.5,23.1704733258623,5739.808173828846,50.60524090603866,0.7276679873466492,630.6570065021515
54,160.0,0.00059,0.4,21.517401550232336,3533.036857271547,42.21437303314154,0.7651402950286865,618.3465552330017
55,160.0,0.00059,0.2,23.554798564846983,6402.3340076856875,37.2554411891832,0.7185587882995605,615.7666537761688
