bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,32.0,0.00151,0.2,20.096500285633535,2790.6853379653485,37.52616375350646,0.7951340675354004,7202.292392492294
2,64.0,0.00165,0.2,19.309740776799348,2283.57681547427,38.05324056231785,0.8108606934547424,7401.040306329727
3,160.0,0.0003,0.5,21.474639839820366,3473.724443283737,43.89256525463281,0.7660728693008423,8660.512634038925
4,64.0,0.00059,0.4,20.27450623387272,3121.5755196810724,39.95218949191147,0.791488766670227,8490.861525535583
5,192.0,0.00043,0.1,19.36328164401351,2146.039822590179,33.09220556474306,0.8098104000091553,8193.425218582153
6,224.0,0.00143,0.1,27.16675640941689,11026.342521240622,39.36639511738462,0.6256270408630371,8611.047452688217
7,160.0,0.00192,0.4,24.893447246621196,6141.2216263311775,42.012993205325195,0.6856604814529419,9621.852602243423
8,192.0,0.00037,0.1,19.267207393956156,2034.2791299784312,35.89670230916302,0.811693012714386,10337.640854358673
9,160.0,0.00653,0.1,23.35444136862676,4555.895566545714,54.615581988214544,0.7233263254165649,8947.591222047806
10,160.0,0.00035,0.4,21.017427751442597,3858.34349936767,43.37291928415429,0.7759277820587158,9269.283020496368
