id,hidden_size,learning_rate,dropout,rmse,s-score,mape,r2,training_time
1,224,0.0018787249753397023,0.30000000000000004,46.832005728045765,420840124686.398,23.47612604359856,-0.27498364448547363,1193.5166833400726
2,224,0.00800571240843147,0.2,17.9643192475581,3007.9858443490684,30.554481945126888,0.8123966455459595,1209.8030228614807
3,64,1.9252728674465762e-05,0.4,25.141752841961967,13309.773725767267,30.021011944234438,0.6325398683547974,437.4286289215088
4,64,1.9782903565771003e-05,0.1,20.45799524192979,5689.069171447588,28.382652456046685,0.7566982507705688,484.1661455631256
5,96,8.883622564924328e-05,0.4,23.320359499376966,28734.058958834932,27.19343064904492,0.6838526129722595,579.4745848178864
6,96,0.002600659419586933,0.30000000000000004,13.432707435462486,861.9188314171515,17.659803823537594,0.895107090473175,661.1524984836578
7,224,0.0010103215201632322,0.1,18.41244574673609,10642.406893602325,19.877340797549277,0.8029202222824097,1297.1721336841583
8,96,0.004087085248476759,0.2,15.40140328953695,2238.4565635664403,21.143924078377545,0.8621078133583069,599.581517457962
9,160,1.877793630054689e-05,0.5,29.357616842277285,53096.91907010235,33.80522937853456,0.498973548412323,896.5377750396729
10,96,2.368275072966778e-05,0.2,27.943744449416045,26984.556059737508,32.172777491101044,0.5460705757141113,626.6940076351166
11,160,0.00021625545876511663,0.30000000000000004,28.651166640270898,94409.14180854982,24.301200475721856,0.5227963924407959,902.5165967941284
12,64,3.632357492870929e-05,0.30000000000000004,22.496150768962295,7318.895183346935,29.0310577592486,0.7058048248291016,576.1923501491547
13,192,0.004268852140376256,0.5,58.05979113907547,1828689509675.3682,29.554229075846678,-0.9596117734909058,1249.4770991802216
14,160,0.00014924100010449418,0.4,21.49548819592686,8331.642691102832,24.250933244737368,0.7313952445983887,1069.311321258545
15,224,0.0005880355069714469,0.5,16.995715810532932,2169.444089518696,19.937253671520896,0.83208167552948,1560.444044828415
16,256,0.005634088360690052,0.4,18.557703779036917,3146.137860016575,42.69741610060985,0.7997983694076538,1539.3738160133362
17,160,0.0034295151603063235,0.2,13.691575492583855,1008.8974190714989,18.383665473647653,0.8910252451896667,819.4702355861664
18,224,9.945083816002983e-05,0.4,23.92788861100529,43508.97218623503,26.459934573400385,0.6671658754348755,1322.7766575813293
19,32,0.0005267421964507516,0.5,13.968563682070286,962.8031629800148,24.128655944711124,0.8865714073181152,427.65712547302246
20,160,0.000659197047113731,0.30000000000000004,12.385963384716442,741.0480131996857,18.336957508119497,0.9108176827430725,937.130518913269
