id,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,192.0,0.0018918438981325536,0.30000000000000004,14.946192554460149,1392.4403252310465,22.750615116223933,-14.946192554460149,1240.0090556144714
2,32.0,0.006159865088593234,0.1,16.23023042469428,1990.8123152142757,27.181399846797188,-16.23023042469428,1329.1178350448608
3,96.0,0.0036861889423140436,0.4,14.740633819493334,1371.859888009245,25.380694281675503,-14.740633819493334,1139.9006340503693
4,192.0,0.0016040546766344325,0.1,15.31571434693894,1687.3814762419986,22.29749683291867,-15.31571434693894,1795.7845194339752
5,96.0,0.000670896467548022,0.5,16.714461701785936,2153.5052557011477,30.280063318999456,-16.714461701785936,1374.9538917541504
6,256.0,0.0030714459413679696,0.2,15.929138623145654,1522.8725784725113,33.561682124976485,-15.929138623145654,1366.5332415103912
7,160.0,0.0027052127636447354,0.4,16.37776824615031,2133.4095092047714,27.866332863437588,-16.37776824615031,1697.4644043445587
8,160.0,0.0040149262576335545,0.2,16.620163292845813,2008.9617494917209,24.33821541409504,-16.620163292845813,1740.248919725418
9,96.0,0.000792610566476702,0.5,18.631851062721534,3437.0805807006586,29.97138754920793,-18.631851062721534,1601.6400833129883
10,128.0,0.0027872701046578823,0.2,16.61090545923916,2374.404291962209,25.81590283626374,-16.61090545923916,1764.233059167862
11,96.0,0.0016320525942907919,0.30000000000000004,15.465602485176326,1712.84082342483,23.500080827515,-15.465602485176326,1399.4532508850098
12,128.0,0.0070145308801171265,0.30000000000000004,15.74792951265489,1488.8245920042855,24.468654819292528,-15.74792951265489,1562.742827653885
13,32.0,0.002840024697773955,0.4,16.712597436841993,2208.6672616747564,27.890078182352916,-16.712597436841993,1578.7343997955322
14,32.0,0.002079567363780747,0.30000000000000004,18.03630981325414,3386.6193595185637,33.63694027269382,-18.03630981325414,1340.5068864822388
15,64.0,0.0009475971831044394,0.1,16.990858425033483,2360.352022019737,24.11479700187212,-16.990858425033483,1054.8369915485382
16,160.0,0.0026372703056158336,0.4,14.835808422457186,1446.5217431918225,24.102843434524516,-14.835808422457186,1610.0606882572174
17,192.0,0.0009575574815212809,0.5,16.684476771439936,2406.0319244596812,26.221292138282248,-16.684476771439936,1274.7500734329224
18,32.0,0.004214595462514812,0.5,17.00666947525661,2920.8073031223003,25.308637167439684,-17.00666947525661,1515.9268336296082
19,192.0,0.0018107817617006177,0.30000000000000004,17.24879871553107,2708.4756002122836,29.8461398534788,-17.24879871553107,1657.9520380496979
20,192.0,0.0023049697704935266,0.5,15.849957275333042,1931.0087248924876,26.078343651156793,-15.849957275333042,1178.1248788833618
