id,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.008580213477089801,0.30000000000000004,21.569630557854804,7588.339296771456,31.159819056525865,0.7639987468719482,2750.6761422157288
2,128.0,0.006344236110188949,0.2,14.960388269128778,1328.789575554002,23.976024706409543,0.8864689469337463,3796.7116425037384
3,64.0,0.0008734324593696807,0.5,16.155687097302224,1679.8480878832436,23.406667908387693,0.867602527141571,3582.5243644714355
4,64.0,0.007652816374538698,0.4,14.860004977280616,1369.282731344044,22.942661066362646,0.8879874348640442,2597.911344051361
5,32.0,0.0022321709846791324,0.4,14.824162652232461,1247.7759099447599,21.285308696709237,0.8885271549224854,2224.0833880901337
6,256.0,0.0035467979167831854,0.2,14.775578965463534,1189.528011904812,19.9906189843417,0.8892565965652466,2628.1190786361694
7,96.0,0.00091757594549657,0.2,15.491876750066721,1415.5851169912858,22.03703428541452,0.878259003162384,2522.3808608055115
8,64.0,0.006991092781340436,0.4,16.879671481583163,2355.027698406178,26.824890002266923,0.8554703593254089,2184.2314627170563
9,64.0,0.004633169366934044,0.30000000000000004,15.230911064524957,1482.7855928478125,22.81487195104027,0.8823259472846985,3595.714762210846
10,128.0,0.000512876049745702,0.2,15.645025741248748,1601.534912338718,20.313747448555734,0.8758400678634644,2477.108293771744
11,64.0,0.0018224223426048733,0.30000000000000004,15.81731067199893,1731.3632874053255,19.020640579868946,0.8730905055999756,2605.8725628852844
12,32.0,0.00040568832966667267,0.2,19.07477032084446,3763.899583210675,29.735847639797154,0.8154357671737671,3656.967833995819
13,64.0,0.009422865085300401,0.5,15.180504714556491,1101.214229497421,33.95750101196806,0.8831035494804382,3634.2824108600616
14,128.0,0.004156738264241857,0.1,15.03467214731164,1366.514826347656,21.639787529143863,0.8853387236595154,2896.2075719833374
15,128.0,0.00037312173570855324,0.4,17.613221040454864,2363.1335657951167,25.107596506198398,0.8426356315612793,3050.722275495529
16,96.0,0.000699806391805583,0.4,15.296828116948072,1443.9031839667005,22.58452990035419,0.8813052177429199,3176.2725965976715
17,64.0,0.003144529337746847,0.30000000000000004,14.114623452818135,1159.1522497884293,19.537421203620468,0.898942768573761,2949.448042154312
18,64.0,0.0007818364639052218,0.30000000000000004,15.590326762907145,1554.5889806899359,22.58549046715514,0.8767067193984985,3888.8020527362823
19,192.0,0.00045200836814155793,0.4,15.514111401813855,1363.1848278767743,20.374269770379357,0.8779093027114868,2958.4933536052704
20,256.0,0.0014087227328520456,0.30000000000000004,15.061869374603445,1442.872828742893,19.6415093620344,0.88492351770401,3409.4397292137146
