bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,192.0,0.00387,0.5,24.262828148573526,4292.475619884578,57.117225836871995,0.6813405752182007,1115.5324430465698
2,192.0,0.00387,0.4,21.865220204822958,3135.7781293813355,50.11100220292914,0.7412075400352478,990.0175821781158
3,192.0,0.00387,0.3,21.017843957500133,3021.5916291308977,52.90428481355993,0.7608776092529297,1006.5881605148315
4,192.0,0.00387,0.1,19.16505199444249,2624.2992270950454,36.15173475468199,0.8011782169342041,919.188473701477
5,192.0,0.00343,0.5,19.736857643548333,2581.755151787026,44.48873442997833,0.7891371846199036,988.8541760444641
6,192.0,0.00343,0.4,21.00128182375733,3359.581168975742,49.52058350904674,0.7612543106079102,989.1986768245697
7,192.0,0.00343,0.3,21.645559139602643,4530.869002964007,48.66006996429683,0.7463811635971069,1039.7865042686462
8,192.0,0.00343,0.1,23.872896239987256,4358.421175511395,42.82936450472597,0.691500723361969,871.6483483314514
9,192.0,0.00148,0.5,21.031501545530535,3103.7978978928522,47.556946791780085,0.7605667114257812,800.8764915466309
10,192.0,0.00148,0.4,20.050156257175423,3142.765878230385,43.15982635165042,0.7823897004127502,703.8107180595398
11,192.0,0.00148,0.3,21.49000843697569,4343.525526474006,45.512590453949734,0.7500132322311401,759.5345380306244
12,192.0,0.00148,0.1,19.99004199826318,2990.498078402623,42.23063781531485,0.7836925983428955,921.9006683826447
13,192.0,0.00081,0.5,21.972470568027248,3799.087435191186,54.4457576914794,0.7386624813079834,857.4560830593109
14,192.0,0.00081,0.4,20.89276391918562,3074.2650881794098,50.62773158733388,0.7637152075767517,752.9021849632263
15,192.0,0.00081,0.3,21.049820843677185,3037.1523220867302,51.517898450158015,0.7601494789123535,782.3457825183868
16,192.0,0.00081,0.1,21.37945289078593,3252.90592255941,48.87023271122495,0.7525786757469177,826.0962302684784
17,192.0,0.0007,0.5,22.135527734312195,3773.387025462579,57.109462182320605,0.734769344329834,833.1947009563446
18,192.0,0.0007,0.4,22.54984573680961,6597.825330274267,48.31496343911069,0.7247476577758789,1138.8222408294678
19,192.0,0.0007,0.3,22.80775851995023,3612.878387685945,51.60683652287923,0.7184152603149414,1104.1399688720703
20,192.0,0.0007,0.1,22.452619214764745,10229.396481374588,44.79207563381652,0.7271161079406738,1016.212738275528
21,192.0,0.00049,0.5,20.35582510338642,2897.8584823629913,46.57561989700724,0.7757040858268738,1074.153795003891
22,192.0,0.00049,0.4,21.08382462017769,3038.1989674265074,46.00677064057695,0.7593739032745361,1146.1873807907104
23,192.0,0.00049,0.3,23.239432038896744,4487.29655702772,50.120632499373116,0.7076554894447327,1050.683521270752
24,192.0,0.00049,0.1,19.700764814176328,2568.5824262567303,42.44721787075947,0.789907693862915,1020.4228537082672
25,192.0,0.00017,0.5,20.41306989061179,3047.392256808889,48.78996176984428,0.7744407653808594,1023.6288950443268
26,192.0,0.00017,0.4,21.76500424594711,3944.357310925736,51.66308030806096,0.7435743808746338,867.7132413387299
27,192.0,0.00017,0.3,22.47931181772245,4646.486664226415,53.2100010491375,0.7264668941497803,885.1613013744354
28,192.0,0.00017,0.1,22.621849907774855,4187.694576898066,51.772059619598245,0.7229869961738586,944.1718266010284
29,192.0,0.00016,0.5,22.245506902403175,4464.902320526984,56.354143404382285,0.7321272492408752,852.9180407524109
30,192.0,0.00016,0.4,21.54082552565581,3673.434424916779,54.05979509272577,0.7488294839859009,857.4944512844086
31,192.0,0.00016,0.3,21.088335355396246,3405.8578931136285,50.05444824680434,0.759270966053009,755.1277949810028
32,192.0,0.00016,0.1,23.364217977055898,4774.920063602374,54.01629207624068,0.7045074701309204,667.0500736236572
33,160.0,0.00387,0.5,21.687237179879464,4097.1075137966955,46.56611329572113,0.745403528213501,577.2729754447937
34,160.0,0.00387,0.4,21.44443830864469,3087.6927107557485,54.363547485261165,0.7510722875595093,580.2353129386902
35,160.0,0.00387,0.3,20.606079453285275,2883.2286344342224,44.95397446948717,0.7701551914215088,558.7814395427704
