bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.00581,0.4,23.77472437102892,3545.0210666963335,79.00292759145628,0.6940327882766724,1168.045975446701
2,256.0,0.00581,0.3,45.399767673896164,156632.80115013797,169.5747035581587,-0.11570966243743896,1093.362960100174
3,256.0,0.00581,0.2,21.05151868524757,1993.7296035393842,52.785256421223394,0.7601107358932495,913.494772195816
4,256.0,0.00581,0.1,22.249716416680975,2429.097694864894,49.42147530337417,0.7320258617401123,871.0717146396637
5,256.0,0.00535,0.4,45.378665986620824,155617.8507235758,169.4480080244031,-0.11467266082763672,863.285905122757
6,256.0,0.00535,0.3,23.206077078797183,4012.32595851084,65.9622600501978,0.7084940671920776,852.9706900119781
7,256.0,0.00535,0.2,44.50771918965365,134298.32599731983,166.35397124839187,-0.07229578495025635,910.3394408226013
8,256.0,0.00535,0.1,25.318197737964557,4531.666500689629,51.027108782601225,0.6530159711837769,913.931633234024
9,256.0,0.00294,0.4,20.66050353823668,1827.187862582964,44.747601510731364,0.7689394950866699,876.1626262664795
10,256.0,0.00294,0.3,23.382330587746157,3519.3009161822815,45.507476739738856,0.7040492296218872,852.4254810810089
11,256.0,0.00294,0.2,21.676859082408388,2273.948785249507,60.109435797623455,0.745647132396698,863.7812678813934
12,256.0,0.00294,0.1,19.911766167268897,1767.1267573407526,44.830510157865426,0.7853833436965942,829.3876190185547
13,256.0,0.00246,0.4,22.002296047198783,2203.259982866373,45.608896801174254,0.7379525899887085,905.5700008869171
14,256.0,0.00246,0.3,23.187353080213104,3974.1553921389027,69.29447951066275,0.7089642882347107,976.9120409488678
15,256.0,0.00246,0.2,33.83193350729572,143725.26122020313,48.02522538021497,0.3804197311401367,834.1842200756073
16,256.0,0.00246,0.1,23.20460349800249,2477.979589731884,46.248845206735226,0.7085310816764832,844.3750467300415
17,256.0,0.00197,0.4,20.277701089146102,1889.2442295383585,45.833817224282356,0.7774224281311035,739.828085899353
18,256.0,0.00197,0.3,22.77879002747005,2947.310126702606,56.288489145270916,0.7191300392150879,743.9245917797089
19,256.0,0.00197,0.2,20.415168817062476,2145.7990520673097,44.55922614943499,0.7743943929672241,1133.0380039215088
20,256.0,0.00197,0.1,21.087203130249765,2945.651326470313,51.44562554319834,0.7592967748641968,1218.7906894683838
21,256.0,0.00134,0.4,21.84457588377337,3285.4087324868924,46.51831202010159,0.7416960000991821,991.8241579532623
22,256.0,0.00134,0.3,22.04164798889826,3405.0512623522063,54.217474297208945,0.7370143532752991,942.7444536685944
23,256.0,0.00134,0.2,22.18399288495101,3197.703176257656,49.395257323315114,0.7336066961288452,1080.9040093421936
24,256.0,0.00134,0.1,22.571466427476366,3144.72509933602,51.78304530179909,0.724219560623169,921.6393458843231
25,256.0,0.00051,0.4,19.851567814864406,2293.4779914392248,45.6281852764451,0.7866790294647217,837.7001032829285
26,256.0,0.00051,0.3,21.092929956082333,2709.862397775799,56.929988721666824,0.7591660022735596,909.5490491390228
27,256.0,0.00051,0.2,23.179514851207294,3611.8114844702914,58.4279025137534,0.7091610431671143,850.8333370685577
28,256.0,0.00051,0.1,35.528620217984276,243463.15513973526,55.476022013904554,0.3167170286178589,879.8764712810516
29,256.0,0.00038,0.4,20.5714964131698,2130.3699632013536,51.70903669961443,0.7709260582923889,831.5786612033844
30,256.0,0.00038,0.3,20.600370209716,2616.7513648528693,53.610933931149084,0.7702825665473938,811.4733293056488
31,256.0,0.00038,0.2,22.48688524916659,6476.487980917742,52.246346797355294,0.7262824773788452,753.5899395942688
32,256.0,0.00038,0.1,20.501303123367627,2755.3613473308656,46.48345505375525,0.772486686706543,699.5600304603577
33,256.0,0.00019,0.4,21.46334914639435,2533.536913175545,55.12355904799138,0.7506330609321594,752.3034861087799
34,256.0,0.00019,0.3,22.286771877486483,3776.767410341548,43.94676158269762,0.7311325073242188,752.6919097900391
35,256.0,0.00019,0.2,23.605394210748607,3843.5800930612622,63.322745477506345,0.6983755826950073,828.4788873195648
36,256.0,0.00019,0.1,26.589703263848307,27788.199178042138,51.83363818240768,0.6172890067100525,869.2111759185791
37,224.0,0.00581,0.4,24.209403926169212,3195.6091033533216,65.00989875836291,0.6827423572540283,789.4014687538147
38,224.0,0.00581,0.3,35.510116171195165,29075.042884591,132.79035387463702,0.3174285888671875,800.0449347496033
39,224.0,0.00581,0.2,22.582318534469874,2980.1504833096833,58.11703108694223,0.7239543199539185,732.9339699745178
40,224.0,0.00581,0.1,22.304974094697755,2478.9266291946187,57.36743811915732,0.7306931614875793,703.764377117157
41,224.0,0.00535,0.4,23.982224302755373,3294.497526418866,66.0493236118019,0.6886686682701111,638.9740843772888
42,224.0,0.00535,0.3,24.0996935982868,3689.714514480202,72.26554255059212,0.6856112480163574,746.8522548675537
43,224.0,0.00535,0.2,23.41926522072463,2466.114638756827,58.37258926497844,0.7031135559082031,738.5080554485321
44,224.0,0.00535,0.1,20.859380476765914,1901.976046511671,50.8091420131918,0.7644697427749634,1151.6274185180664
45,224.0,0.00294,0.4,21.997987189069914,2708.9684287824275,55.64889921025096,0.7380552291870117,1098.0322709083557
46,224.0,0.00294,0.3,21.179848105898635,1935.06110992641,48.98478611275253,0.7571771144866943,1059.8282945156097
47,224.0,0.00294,0.2,20.980989925429988,2143.9540245006065,44.68172434675203,0.7617154717445374,1098.825543165207
48,224.0,0.00294,0.1,21.238638803472195,1863.8132566211607,46.85722729019658,0.7558271884918213,1056.6149406433105
49,224.0,0.00246,0.4,21.5605295053803,2676.7027543189424,50.207623489753686,0.7483698129653931,886.3813383579254
50,224.0,0.00246,0.3,19.75029198960757,1784.771398166592,43.96276735136132,0.7888500690460205,876.2877061367035
51,224.0,0.00246,0.2,24.170547450762577,4045.096710552416,50.45023735343529,0.6837599277496338,830.1424040794373
52,224.0,0.00246,0.1,21.91594368423247,2126.5185841351476,53.907930179637454,0.7400054335594177,939.6040291786194
53,224.0,0.00197,0.4,19.911063979263986,1992.4475818110327,44.87081940106978,0.7853984236717224,868.9598684310913
54,224.0,0.00197,0.3,24.580063192684054,9465.62827357393,50.58857102176656,0.672953188419342,747.5591485500336
55,224.0,0.00197,0.2,22.931765849781854,5058.738378584545,50.34380694420501,0.7153449058532715,714.0039172172546
56,224.0,0.00197,0.1,20.732810761816133,1988.3053192438513,43.76798004012408,0.7673193216323853,722.7584836483002
57,224.0,0.00134,0.4,22.179722658692327,3597.2269408144953,48.22043435078866,0.7337092161178589,779.1361482143402
58,224.0,0.00134,0.3,21.370529712534733,2868.7253075539847,53.397457000922756,0.7527852058410645,779.375052690506
59,224.0,0.00134,0.2,21.786122869482693,2737.034029972085,47.357188769204235,0.743076503276825,756.1375107765198
60,224.0,0.00134,0.1,19.654874617154086,2178.203144229265,43.3029768799899,0.790885329246521,736.0089070796967
61,224.0,0.00051,0.4,20.890281237515108,2320.5663494528026,55.028071038159055,0.7637714147567749,745.4279625415802
62,224.0,0.00051,0.3,28.734462845665636,24217.231510098376,50.031177744875734,0.5530591011047363,680.6236734390259
63,224.0,0.00051,0.2,19.9842247446325,2518.9249538563263,40.98020763177248,0.7838184833526611,668.2207429409027
64,224.0,0.00051,0.1,19.940260174169737,2312.0494191402377,43.621368306475134,0.7847686409950256,713.6245470046997
65,224.0,0.00038,0.4,19.822867160402204,2529.61206001566,44.34837560806758,0.787295401096344,722.6679108142853
66,224.0,0.00038,0.3,20.932812343659077,3137.437674691517,43.16732680943572,0.7628085017204285,704.8742010593414
67,224.0,0.00038,0.2,20.139546474778992,2541.481206361312,44.28453421182989,0.7804449796676636,705.3555448055267
