bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.00637,0.1,23.59678038278938,6480.582632487383,61.807059752041695,0.6985957622528076,5002.492345094681
2,96.0,0.00046,0.2,19.763162210699132,3244.3965301350595,38.32175705704757,0.7885748147964478,5484.018040895462
3,224.0,0.00189,0.2,20.04225196961838,2724.902219733057,34.16489592822164,0.7825612425804138,5864.5795822143555
4,192.0,0.00048,0.2,19.235338845418006,2480.7423044809,40.426452075341246,0.7997171878814697,5378.5740275383
5,128.0,0.00028,0.4,20.02442661183617,2638.960558857951,43.484627802421514,0.782947838306427,5029.773136377335
6,192.0,0.00028,0.1,19.353681883336986,2193.11986504214,39.878644631636796,0.7972452044487,4469.303030014038
7,192.0,0.00062,0.2,20.55622930482198,2701.919731516282,45.64103137799242,0.7712659239768982,4962.562018632889
8,224.0,0.00049,0.4,19.51187554679241,2525.294229329418,44.561393344529165,0.7939170598983765,4460.392283678055
9,64.0,0.00125,0.1,19.61392579788855,1684.7080915928273,34.48226072792968,0.7917557954788208,4148.144968986511
10,192.0,0.00017,0.1,27.285088862210987,42563.11888658114,54.878192125702874,0.5970096588134766,6175.688497304916
