bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.00105,0.2,22.722839910831595,4545.229999828732,38.78199965718522,0.7380887866020203,6463.36895608902
2,64.0,0.00786,0.1,20.268438539514534,2648.5013634597635,38.56425938754746,0.7916135787963867,5998.8087022304535
3,96.0,0.00252,0.30000000000000004,22.123266809541757,3306.72971355879,50.25668995198396,0.7517281770706177,6924.667958021164
4,160.0,0.00011,0.5,20.3226679779067,2317.293959665617,42.50492913595442,0.7904969453811646,7325.682048082352
5,64.0,0.0004,0.2,20.32935148346551,2384.4806566132347,36.07958710814674,0.7903591394424438,6555.268568277359
6,128.0,0.00021,0.1,19.3428475657832,2285.7305979154276,30.502132661335214,0.8102115988731384,5599.064348220825
7,256.0,0.0004,0.2,20.12359652156867,2476.2178696617184,35.46512436196345,0.7945812344551086,4598.205362081528
8,96.0,0.00238,0.5,19.693454580654773,1842.2513815478283,43.817202789546364,0.8032690286636353,4719.62532377243
9,224.0,0.00211,0.1,22.344104427914466,3653.7500931034983,36.757686429866276,0.7467468976974487,4282.4668827056885
10,96.0,0.00699,0.4,22.763028281469246,3245.0540571839247,43.982645345097175,0.7371615171432495,4206.196396589279
