id,hidden_size,learning_rate,dropout,rmse,s-score,mape,r2,training_time
1,224,0.00800571240843147,0.2,19.166300622227848,3631.3001843232887,40.097445119206085,0.7864519357681274,253.9577407836914
2,64,1.9252728674465762e-05,0.4,25.17807851386241,7769.411060360759,38.703130298745776,0.6314772963523865,107.02279114723206
3,64,1.9782903565771003e-05,0.1,21.26802665814503,4900.063272197904,37.312657737597874,0.7370498180389404,106.5155131816864
4,96,8.883622564924328e-05,0.4,26.866126578177038,38180.159021588326,32.32992256958111,0.5804060697555542,150.484548330307
5,96,0.002600659419586933,0.30000000000000004,23.47315751261844,8175.043065685784,22.798477582116135,0.6796962022781372,148.38609099388123
6,224,0.0010103215201632322,0.1,13.22794607855032,978.1177336790086,19.00855757419545,0.8982805609703064,275.4846706390381
7,96,0.004087085248476759,0.2,13.268336212301651,939.9615710780301,21.074245549040985,0.8976584672927856,145.23302841186523
8,160,1.877793630054689e-05,0.5,29.362647129698498,47099.21829062114,35.542139858118404,0.4988017678260803,201.41034126281738
9,96,2.368275072966778e-05,0.2,28.072340118416964,27593.494081114524,37.14371995012691,0.5418830513954163,144.45426273345947
10,160,0.00021625545876511663,0.30000000000000004,28.966333413638413,104244.83664420902,27.266095900611965,0.5122400522232056,220.96499919891357
11,64,3.632357492870929e-05,0.30000000000000004,19.158801380355825,3231.4228821023157,31.761049039555093,0.7866190075874329,118.57150411605835
12,192,0.004268852140376256,0.5,13.536633212144476,950.269529678529,17.165032169069324,0.893477737903595,241.54332447052002
13,160,0.00014924100010449418,0.4,24.06527540182848,13994.464673322336,30.802560327696348,0.6633328199386597,202.5443558692932
14,224,0.0005880355069714469,0.5,20.3910100348977,5165.715560526254,21.175109778665384,0.7582889199256897,257.2173764705658
15,256,0.005634088360690052,0.4,21.31259611743363,4395.885738616452,45.50106521342636,0.735946536064148,295.17858481407166
16,160,0.0034295151603063235,0.2,13.299895635115059,947.1379442005518,17.23851320351068,0.8971710205078125,215.86318445205688
17,224,9.945083816002983e-05,0.4,25.72398763208782,34384.71694042157,30.589558021157387,0.6153234839439392,288.79507327079773
18,32,0.0005267421964507516,0.5,16.415200891624508,1888.9209185156546,30.68751798273595,0.8433568477630615,91.84088492393494
19,160,0.000659197047113731,0.30000000000000004,14.0267843108582,892.3494479583266,20.37073313972997,0.8856238722801208,228.1735179424286
20,160,3.8350662177433244e-05,0.5,26.9975136715923,28106.66695477637,33.07006140109426,0.5762920379638672,220.01674032211304
