bootstrap_series,hidden_size,learning_rate,dropout,rmse,r2training_time,s_score,mape,r2,training_time
1,128.0,0.005279386832276087,0.2,20.09480930698235,,2170.1744483226353,46.62388085371609,0.7951685190200806,783.0857689380646
2,128.0,0.005051456388511006,0.30000000000000004,20.319688481623785,,2358.8786127614703,46.91994317870601,0.790558397769928,856.8838875293732
3,160.0,0.0003028880664739407,0.4,21.984443713245494,,3746.0413724868586,56.20369933572496,0.7548342347145081,977.654096364975
4,192.0,0.00020314700577662705,0.30000000000000004,22.38227598069892,,3492.9365753119455,58.522799801571765,0.7458808422088623,806.1315977573395
5,192.0,0.00017332888871131278,0.4,21.547333179274688,,2127.013767918592,50.193963254237005,0.7644864320755005,837.9864504337311
6,256.0,0.000246935151098614,0.2,20.74370948394469,,2090.766720782837,41.969958992601754,0.7817261219024658,960.4492559432983
7,96.0,0.007491590018915076,0.4,20.431373914621172,,2216.9723382213415,45.54136474767475,0.7882497310638428,901.5506992340088
8,64.0,0.0025389774716845256,0.4,21.48119720816542,,2702.8612829786084,60.350242079248474,0.7659299373626709,790.4982440471649
9,128.0,0.0009514666630173795,0.4,20.239441179243236,,1839.5739087535683,44.48578876045237,0.7922093868255615,779.9007697105408
10,192.0,0.0004588566374749141,0.30000000000000004,22.407831920926316,,3544.1542189917864,51.67834189521936,0.7453002333641052,749.960871219635
11,96.0,0.001967048499530386,0.4,20.128062897746148,,2652.8662618521557,48.29184453239968,0.7944900393486023,887.849618434906
12,160.0,0.00035298894420506444,0.5,21.423029606238366,,3195.467978118555,48.33528636775863,0.7671958804130554,896.4395051002502
13,256.0,0.00035058455482378444,0.4,21.978296151180245,,4020.6824159836406,48.23610783461461,0.7549713253974915,717.8667123317719
14,224.0,0.00028170254105424627,0.4,20.517814525202848,,2625.962356793616,43.70427529138148,0.7864542007446289,789.582320690155
15,96.0,0.00029782443115420183,0.1,21.021487187732088,,3040.7860350045607,42.997377836505315,0.775841236114502,786.7411420345306
16,192.0,0.002390955936674968,0.1,20.975223275452354,,2946.419227013267,47.730413347129456,0.776826798915863,860.410404920578
17,160.0,0.0025248823876225144,0.2,20.094520755775612,,2019.4466728354985,37.04442679433593,0.7951744198799133,937.5306024551392
18,128.0,0.00028798802050201397,0.5,21.742715251410214,,3100.0241919726104,54.83544899328552,0.7601959705352783,901.5422785282135
19,96.0,0.0010045907574195124,0.5,21.233753411386008,,2312.5320220563553,48.309757057455336,0.7712914347648621,857.1151802539825
20,160.0,0.004112634787973759,0.2,18.80424282814503,,2063.6711529441586,34.30119081673883,0.8206338286399841,969.2424049377441
