id,hidden_size,learning_rate,dropout,rmse,s-score,mape,r2,training_time
1,224,0.0018787249753397023,0.30000000000000004,29.97775653161752,57278.1041507445,24.433072750466895,0.5441445708274841,1137.3503346443176
2,224,0.00800571240843147,0.2,24.61244545924652,11790.130046800317,31.105386418965946,0.6927170753479004,1137.8219470977783
3,64,1.9252728674465762e-05,0.4,26.676241098845068,21489.07271080574,30.323917081404083,0.6390241384506226,485.76589488983154
4,64,1.9782903565771003e-05,0.1,21.35132418364094,7289.981701986075,28.543142629202688,0.7687517404556274,478.4499468803406
5,96,8.883622564924328e-05,0.4,25.542715628732886,28768.95815575657,28.53804300455487,0.6690495014190674,617.2483072280884
6,96,0.002600659419586933,0.30000000000000004,21.949919486236983,10475.507111193581,21.832448348111882,0.7556036710739136,620.5376198291779
7,224,0.0010103215201632322,0.1,28.873478357637026,52315.131934394,24.42567960265449,0.5771102905273438,1148.5051221847534
8,96,0.004087085248476759,0.2,26.53697202564646,18140.005786690417,23.67936875511643,0.6427834033966064,633.8600969314575
9,160,1.877793630054689e-05,0.5,31.143197482843348,81617.68160999338,33.68412313794372,0.5080111026763916,882.4561285972595
10,96,2.368275072966778e-05,0.2,30.214117673737302,42108.02319539707,32.9135750925964,0.5369278192520142,649.6495583057404
11,160,0.00021625545876511663,0.30000000000000004,30.16166115627884,95787.07852384499,27.603704612327302,0.5385343432426453,881.4330880641937
12,64,3.632357492870929e-05,0.30000000000000004,27.59820169990761,43780.34178186371,31.801035136097227,0.6136415004730225,522.9929687976837
13,192,0.004268852140376256,0.5,14.552291642825663,1210.8276291595446,20.78160835504958,0.8925783634185791,1213.633915424347
14,160,0.00014924100010449418,0.4,31.382768729564383,142051.99774742048,28.618345454326004,0.5004127025604248,928.8599464893341
15,224,0.0005880355069714469,0.5,21.426959029226044,6544.862014184833,23.25566627723041,0.7671104669570923,1288.4001679420471
16,256,0.005634088360690052,0.4,14.079707204957048,1060.5838939898956,20.095282270788328,0.8994421362876892,1442.2511739730835
17,160,0.0034295151603063235,0.2,14.585949900229934,1394.5763276421346,19.50465441139823,0.8920809030532837,913.7393295764923
18,224,9.945083816002983e-05,0.4,33.30381873591918,333119.9066990332,28.103829707128064,0.4373777508735657,1274.6997632980347
19,32,0.0005267421964507516,0.5,15.628129359964689,1468.197751506551,27.276119838095003,0.8761081099510193,408.4727921485901
20,160,0.000659197047113731,0.30000000000000004,18.5208307470039,4784.525096808075,19.716095591251058,0.8259997963905334,937.9208323955536
