hidden_size,learning_rate,dropout,rmse,training_time,bootstrap_series,s_score,mape,r2
224.0,0.0075294956296533,0.5,14.86708636247419,397.67185258865356,1.0,1247.5055039255212,24.293452902697908,0.8715095520019531
224.0,0.0075294956296533,0.4,17.526946613020566,389.608136177063,2.0,2066.121388607268,29.338251452883924,0.8214204907417297
224.0,0.0075294956296533,0.3,16.43348563489574,381.6232922077179,3.0,2679.1009315050765,24.240784005975474,0.8430076837539673
224.0,0.0075294956296533,0.2,19.270119269507315,364.03295278549194,4.0,3851.198421435381,35.582248888658164,0.784132182598114
224.0,0.0044111853261593,0.5,12.775879620887851,349.18502593040466,5.0,746.5534246792054,17.944651177072718,0.9051142930984497
224.0,0.0044111853261593,0.4,13.26049737045344,456.01714301109314,6.0,847.3653809405419,20.61191541109177,0.8977793455123901
224.0,0.0044111853261593,0.3,15.41332988335225,462.03443574905396,7.0,1350.3467622229377,21.246150465291997,0.8618941307067871
224.0,0.0044111853261593,0.2,12.680914061179308,447.31312918663025,8.0,789.6102021942766,18.956033275200358,0.9065196514129639
224.0,0.0036328834443756,0.5,25.16786582410019,412.87770795822144,9.0,17799.40697779199,23.535437558882936,0.6317762136459351
224.0,0.0036328834443756,0.4,31.369224841885885,392.6964430809021,10.0,149491.17245338505,23.726195423637698,0.427959680557251
224.0,0.0036328834443756,0.3,14.445678834185031,378.22641611099243,11.0,6062.018897259052,18.757742086931092,0.8786904811859131
224.0,0.0036328834443756,0.2,24.056709402747426,357.903272151947,12.0,22946.81109405044,23.462638809755816,0.6635724306106567
224.0,0.0031904191649447,0.5,18.364160062444057,341.6016402244568,13.0,3063.6343022425417,22.099786767827684,0.8039525151252747
224.0,0.0031904191649447,0.4,25.174903391468977,338.12156653404236,14.0,21261.57690046216,21.4021132415913,0.6315702199935913
224.0,0.0031904191649447,0.3,14.423167815243291,335.8907399177551,15.0,1151.8152125578165,18.96891301052843,0.8790682554244995
224.0,0.0031904191649447,0.2,19.452155443915768,330.435439825058,16.0,6370.174448461494,21.451857692674935,0.7800345420837402
224.0,0.0028687567048687,0.5,13.955063186583054,341.42708563804626,17.0,919.9030914066103,19.687753111898708,0.8867905139923096
224.0,0.0028687567048687,0.4,23.36588508356579,343.62399673461914,18.0,14908.227768359095,20.876652059022785,0.6826170682907104
224.0,0.0028687567048687,0.3,13.594297235511167,341.59564328193665,19.0,878.535437808014,19.835799004650855,0.8925682902336121
224.0,0.0028687567048687,0.2,21.01677447536162,334.5122323036194,20.0,6572.547846133782,20.55022331011554,0.7432259321212769
224.0,0.0019272351084523,0.5,24.007660154889482,327.69014525413513,21.0,222488.47251874392,20.95478556329339,0.6649429798126221
224.0,0.0019272351084523,0.4,22.304709936243928,328.4894161224365,22.0,10078.923664879805,21.81847483612112,0.710790753364563
224.0,0.0019272351084523,0.3,16.352846264422865,327.4083790779114,23.0,1657.1365484229018,18.692236411948375,0.8445445895195007
224.0,0.0019272351084523,0.2,14.375051584550851,326.6775562763214,24.0,953.875935635311,16.94073906135162,0.8798737525939941
224.0,0.0012574139913228,0.5,13.551648234201204,327.49944853782654,25.0,882.7607212174715,19.459093083246195,0.893241286277771
224.0,0.0012574139913228,0.4,22.945934045092475,329.4033796787262,26.0,11007.881385640314,21.09177821054075,0.6939231157302856
224.0,0.0012574139913228,0.3,12.725936678515492,329.9814703464508,27.0,814.9663757967669,18.2179964016995,0.9058547019958496
224.0,0.0012574139913228,0.2,13.89392243404554,299.98392605781555,28.0,1509.5505877348348,17.91328575610463,0.8877803683280945
224.0,0.0009439185187258,0.5,23.725728860208065,290.8132812976837,29.0,11970.269190981244,23.30347553894414,0.6727662086486816
224.0,0.0009439185187258,0.4,24.412358987575892,289.813271522522,30.0,14532.340876094626,21.980340462554615,0.6535515785217285
224.0,0.0009439185187258,0.3,22.47333625706903,288.9068694114685,31.0,7963.926922388432,21.92570643233536,0.7064012289047241
224.0,0.0009439185187258,0.2,20.530896971259775,292.98603558540344,32.0,4846.657407204962,21.39147140589449,0.7549611330032349
224.0,0.0008350565386705,0.5,13.982385077123023,291.56539964675903,33.0,847.7105039020353,19.398630836869994,0.8863468170166016
224.0,0.0008350565386705,0.4,20.534914149057567,285.54175448417664,34.0,4355.108334399558,22.65818790298269,0.7548652291297913
224.0,0.0008350565386705,0.3,16.0390448079634,292.097811460495,35.0,1836.4808946095372,19.659996601908926,0.8504535555839539
224.0,0.0008350565386705,0.2,19.120058269227297,289.16120648384094,36.0,5042.802382718167,20.415680844229534,0.7874811291694641
224.0,0.0006528345899777,0.5,20.71804581889023,294.54504108428955,37.0,4825.001345005293,21.52535100789273,0.7504734992980957
224.0,0.0006528345899777,0.4,17.829111855553176,295.1154546737671,38.0,2991.267895185284,21.018802039703377,0.8152099847793579
224.0,0.0006528345899777,0.3,21.729971045042326,287.8097643852234,39.0,6230.150289941863,22.27588601188036,0.7255030870437622
224.0,0.0006528345899777,0.2,17.298781388781215,296.6282591819763,40.0,2191.572408814601,20.286899840926935,0.8260396718978882
224.0,0.0005136917971808,0.5,20.377203591516647,304.01561093330383,41.0,4641.848286879682,22.772103973613632,0.7586161494255066
224.0,0.0005136917971808,0.4,22.732786248580563,309.72231435775757,42.0,6848.493702015105,22.776101334669264,0.6995830535888672
224.0,0.0005136917971808,0.3,26.311336519639838,310.1787700653076,43.0,16061.874763892856,24.91193927943255,0.597556471824646
224.0,0.0005136917971808,0.2,24.904427677389865,309.6497130393982,44.0,18676.40730851638,23.17000037163546,0.6394444108009338
224.0,0.0004199950750038,0.5,38.17391073754586,307.3852627277374,45.0,15943696.064377524,26.343619939913488,0.15286540985107422
224.0,0.0004199950750038,0.4,28.237521501014033,307.04739022254944,46.0,511878.6188173311,21.627381939899614,0.5364760160446167
224.0,0.0004199950750038,0.3,34.64337904772802,305.7932827472687,47.0,2618170.9914889047,25.446513947515868,0.3023146390914917
224.0,0.0004199950750038,0.2,43.4370702338807,313.71287202835083,48.0,18864247.129819702,28.370727833424823,-0.0968320369720459
224.0,0.0003961709752902,0.5,12.992304507746418,313.4120240211487,49.0,815.1314436202013,18.237619313408477,0.9018723368644714
224.0,0.0003961709752902,0.4,20.067765534507945,315.9553735256195,50.0,6667.9375972673115,21.249045876080483,0.7658915519714355
